vehicle_id,fuel_type,rpm,fuel_consumption,throttle_position,fuel_pressure,coolant_temp,torque,spark_timing,speed,engine_load,intake_temp,battery_voltage,power,intake_pressure,vehicle_age,battery_age,battery_health,harsh_braking_count,sudden_acceleration_count,idle_time,days_since_last_service,distance_since_last_service,oil_change_count,brake_change_count,repairs_last_year,accident_history,temperature,humidity,traffic_index,road_quality,terrain_type,aqi,driver_score,engine_stress_score,service_health_score,service_required,vehicle_weight,rpm_variance_score,overheating_risk,aggressive_driving_index,daily_distance,fuel_efficiency,battery_service_required,brake_service_required,oil_change_required,engine_service_required,remaining_service_km,service_status,vehicle_model,engine_displacement_l,cylinder_count,transmission_type,drive_type,vehicle_class,city_mpg,highway_mpg,combined_mpg,air_pollution_score,greenhouse_gas_score,co2_emissions,rainfall_mm,weather_location,weather_severity,wet_road,health_label,days_until_service
VH00001,petrol,2064.0,7.58,47.6,53.3,102.4,100.9,10.2,49.5,64.5,51.5,12.6,20.0,92.2,6,40,54.4,16,12,27.0,138,6797,7,6,3,1,18.4,61.0,0.5,0.56,Mixed,40,62.1,0.641,0.413,1,946,0.523,0.492,0.478,66.1,4.0,1,1,1,1,587,Service Soon (16d),Maruti Swift,1.2,4,Manual,FWD,Hatchback,33.1,41.1,36.7,6,7,140.0,1.8,Bangalore,Clear,0,Service Soon,16.0
VH00002,diesel,1814.0,8.55,54.3,255.2,101.2,320.0,10.1,57.6,67.4,56.8,12.33,62.4,103.3,3,37,50.1,17,13,32.6,105,6295,10,6,3,1,44.9,52.6,0.16,0.25,Off-road,90,59.8,0.641,0.27,1,2098,0.514,0.513,0.487,81.9,4.0,1,1,0,0,1251,Service Soon (19d),Mahindra XUV700,2.2,4,Automatic,AWD,SUV,17.9,24.1,20.7,7,8,264.1,0.3,Hyderabad,Clear,0,Service Soon,19.0
VH00003,petrol,1305.0,4.93,22.6,53.7,88.1,126.4,14.4,28.8,48.0,31.9,14.03,10.9,102.3,2,2,92.2,1,0,10.9,19,2199,4,0,0,0,20.7,58.8,0.66,0.67,City,187,97.7,0.109,0.774,0,938,0.124,0.179,0.097,40.3,4.0,0,0,0,0,6601,Healthy,Maruti Swift,1.2,4,Manual,FWD,Hatchback,39.7,46.1,42.6,9,9,130.0,8.3,Delhi,Moderate,1,Healthy,
VH00004,petrol,1199.0,3.66,19.0,48.1,88.6,103.8,16.3,47.6,44.8,45.1,14.06,18.3,102.9,18,11,96.0,1,0,12.3,21,50,2,0,0,0,33.3,72.4,0.56,0.64,City,202,94.7,0.27,0.81,0,987,0.197,0.15,0.143,51.0,4.39,0,0,0,0,5074,Healthy,Hyundai i20,1.2,4,Manual,FWD,Hatchback,33.1,45.4,38.6,9,9,134.4,14.5,Kolkata,Moderate,1,Healthy,
VH00005,petrol,1791.0,4.72,36.4,48.4,96.6,124.9,11.8,65.7,59.2,45.0,12.84,19.6,96.1,3,35,66.5,2,5,24.6,57,5152,8,2,1,0,31.8,79.2,0.45,0.64,Mixed,149,88.8,0.489,0.544,0,1282,0.409,0.263,0.292,51.7,4.0,0,0,0,0,3125,Monitor,Tata Nexon,1.2,4,Manual,FWD,SUV,24.0,35.5,29.2,7,8,170.5,13.6,Mumbai,Moderate,1,Monitor,
VH00006,petrol,1493.0,4.35,19.0,54.2,85.6,136.8,13.3,35.6,20.2,35.7,14.23,18.5,101.6,4,16,96.2,0,1,11.3,52,133,4,0,0,0,15.8,50.7,0.5,0.53,City,72,89.6,0.286,0.986,0,1026,0.292,0.066,0.175,28.3,4.0,0,0,0,0,6605,Healthy,Tata Altroz,1.2,4,Manual,FWD,Hatchback,32.3,44.5,37.8,10,8,154.0,4.5,Bangalore,Clear,1,Healthy,
VH00007,petrol,2360.0,11.12,63.6,50.3,110.6,113.1,9.8,50.3,67.2,48.3,12.52,31.0,95.9,0,50,58.7,10,7,34.0,151,5748,7,6,4,1,10.6,57.9,0.59,0.67,Mixed,87,66.9,0.616,0.321,1,1278,0.441,0.603,0.517,70.0,4.0,1,1,1,0,365,Service Soon (7d),Tata Nexon,1.2,4,Manual,FWD,SUV,24.2,34.4,28.8,7,7,167.2,5.1,Hyderabad,Moderate,1,Service Soon,7.0
VH00008,petrol,1612.0,11.29,52.0,48.8,107.2,105.5,10.0,45.5,65.5,40.7,13.16,16.8,92.8,4,57,61.4,16,13,22.2,182,9125,11,4,3,1,26.2,79.2,0.73,0.53,City,158,63.7,0.669,0.315,1,1258,0.555,0.505,0.429,77.9,4.0,1,1,1,1,624,Service Soon (17d),Tata Nexon,1.2,4,Manual,FWD,SUV,25.7,34.6,29.7,5,8,177.9,16.0,Kolkata,Moderate,1,Service Soon,17.0
VH00009,petrol,1337.0,4.11,26.5,52.5,88.9,142.2,16.2,49.0,42.6,39.1,13.73,20.6,102.1,6,12,97.1,2,0,14.0,7,1318,2,1,0,0,30.3,77.2,0.3,0.79,Highway,197,100.0,0.292,0.806,0,1007,0.138,0.094,0.048,43.1,4.0,0,0,0,0,5115,Healthy,Hyundai i20,1.2,4,Manual,FWD,Hatchback,38.4,42.4,40.2,9,9,141.4,56.4,Kolkata,Severe,1,Healthy,
VH00010,petrol,1438.0,3.03,21.5,49.8,90.7,115.8,11.8,30.1,30.0,46.2,13.83,18.7,102.0,3,10,89.6,1,3,14.3,26,417,1,1,0,0,29.0,90.4,0.65,0.51,City,89,96.1,0.178,0.835,0,973,0.08,0.052,0.042,41.7,4.0,0,0,0,0,6894,Healthy,Hyundai i20,1.2,4,Manual,FWD,Hatchback,37.1,41.8,39.2,10,9,131.7,2.5,Chennai,Clear,1,Healthy,
